Unnamed: 0,follower,visited
1014,najuqq,Private
1015,jessica.jeremias,Private
1016,lucas.etec,Invalid
1017,pedro_henriiqq,False
1018,cristina16719,Private
1019,yan_bou,Private
1020,be_cassia,Private
1021,geanycegielski,Private
1022,drasdiego,False
1023,elisangelafuerst,Private
1024,rafaelramoscortz,True
1025,gabyisn,True
1026,jamilebridi,True
1027,fabriciofrainer,True
1028,anaclaudia0106,True
1029,bibliotecautfprcuritiba,True
1030,giulli.vitoria,Private
1031,dudasiveek,Private
1032,nathhieli,Private
1033,loiro.fk,Private
1034,muchiuttienzo,False
1035,_furkinn_,Private
1036,oliveirafabriciojgs,Private
1037,kaauhbueno_,Deleted
1038,gyslenemacedo,False
1039,isisalles_,False
1040,gui.martins.s,Private
1041,luunelli,Private
1042,dayaneaplewka,True
1043,gabimlemos95,True
1044,seabramyrla,Private
1045,manguxy3a,Private
1046,_michelmartins_,True
1047,alvarobenintendi,Private
1048,gabrielamichelon,Private
1049,carolinaplautz,Private
1050,abreestagiocuritiba,False
1051,tayna_renisz,Private
1052,rosangela_rosa_atelie,False
1053,zabuza_momotche,True
1054,igorfrancizco,Private
1055,diassilvaisabela,True
1056,marciogsb,True
1057,cpmcuritiba,True
1058,leila_bnu,True
1059,quantikabr,True
1060,felipetfrocha,Private
1061,daianaallessi,True
1062,coted.ct,False
1063,g.anderssonn,Private
1064,bruna_a_pinheiro,Invalid
1065,diego.didi64,False
1066,le_leco,Private
1067,herculanah,Private
1068,prof_anaokamoto,Private
1069,andresz_mendes,True
1070,marilene6554,Private
1071,tiagopiresjm,Private
1072,luiza_bodanese,True
1073,alcdof,Private
1074,eithaynaamorim,True
1075,gmcarvalhos,Private
1076,fabriamorales,True
1077,simonestaniszewski,Invalid
1078,tay_gnms,True
1079,beatriz.bronoski,True
1080,enzogatto27,True
1081,camili_f_s,Private
1082,ca_tomazi,Invalid
1083,deividueslei,Private
1084,kauan_santana99,True
1085,ka_uan169,True
1086,cabral_fefs,True
1087,mariauliwiak,Private
1088,giov.zanetti,True
1089,viniciuscwba,Private
1090,arthurstha,Private
1091,gabi._cwb,Private
1092,geo.ss_05,Private
1093,syfo.diaz,Private
1094,sr.sadler,Invalid
1095,tecpop_ppgte,True
1096,jamillona98,Private
